"Gene_ID","Contig_ID","Num_Transcripts","gill_1","gill_2","gill_3","gill_4","heart_1","heart_2","heart_3","heart_4","hepato_1","hepato_2","hepato_3","hepato_4","gonad_1","gonad_2","gonad_3","gonad_4","nerve_1","nerve_2","nerve_3","nerve_4","ovary_1","ovary_2","ovary_3","ovary_4","muscle_1","muscle_2","muscle_3","muscle_4","eye_1","eye_2","eye_3","eye_4","gut_1","gut_2","gut_3","gut_4","juv_1","juv_2","juv_3","juv_4"
"ENSHGAG00000000003","H.gam_scaffold_14656",3,10.67,10.643,10.764,10.639,10.112,10.024,9.996,9.931,10.957,11.094,10.991,10.953,11.242,11.188,12.157,11.117,10.878,10.921,11.048,11.059,10.43,10.504,10.635,10.684,10.295,10.459,10.122,10.26,10.679,10.744,10.675,10.694,11.871,11.502,11.273,11.389,10.324,10.238,10.233,10.06
"ENSHGAG00000000004","H.gam_contig_8497",1,11.648,11.776,11.202,11.364,11.062,11.713,10.514,11.128,11.444,12.893,11.285,12.077,9.614,10.464,10.743,9.922,11.488,12.354,11.368,11.925,10.457,10.616,10.291,10.739,11.753,11.429,11.067,11.878,12.319,11.889,12.072,12.197,11.203,11.868,10.968,11.302,10.992,10.73,10.973,10.904
"ENSHGAG00000000006","H.gam_contig_8327",1,6.893,7.535,7.045,6.539,5.979,6.539,5.687,5.582,4.961,5.094,4.933,5.402,3.497,4.612,4.253,4.02,6.41,5.879,6.766,5.645,5.667,4.827,5.308,4.638,5.39,4.954,4.824,4.482,6.543,5.649,6.176,6.852,6.151,6.15,6.315,6.102,5.072,5.761,5.463,5.318
"ENSHGAG00000000008","H.gam_contig_6967",2,5.101,5.579,5.954,5.714,6.057,5.737,5.388,5.795,5.454,5.198,5.639,3.901,4.801,4.849,4.627,4.699,5.732,5.293,4.969,5.303,4.505,4.566,4.636,4.902,8.477,8.053,7.968,7.765,4.958,4.326,4.592,4.447,5.283,4.886,5.174,5.115,5.199,5.204,5.486,4.715
"ENSHGAG00000000010","H.gam_contig_4294",3,3.841,3.834,3.557,3.815,6.798,5.368,6.884,5.89,5.264,6.863,6.419,6.4,5.033,5.777,5.511,6.126,3.943,3.537,4.384,3.589,2.728,3.25,3.196,3.185,3.99,5.036,4.164,5.314,11.326,11.499,11.946,11.579,8.358,9.672,9.968,9.522,12.353,11.857,12.109,11.95
"ENSHGAG00000000014","H.gam_contig_4340",5,10.947,9.551,10.146,9.703,7.64,7.509,6.949,6.902,10.97,10.625,8.86,9.864,8.381,9.259,8.359,8.625,10.008,9.794,10.286,9.931,9.091,9.15,9.154,9.038,10.231,9.547,10.463,10.641,9.745,10.387,10.479,10.422,7.73,8.321,8.764,8.786,9.427,9.258,9.001,9.27
"ENSHGAG00000000015","H.gam_contig_4483",2,5.773,4.81,5.139,5.042,5.785,5.087,5.34,5.296,6.027,5.951,5.812,6.04,5.66,5.426,5.319,5.535,4.992,4.732,4.969,4.938,7.344,7.019,7.112,7.003,5.727,6.202,5.345,5.207,5.857,5.595,5.894,5.89,5.548,5.179,4.938,5.063,5.763,5.889,5.947,6.036
"ENSHGAG00000000016","H.gam_contig_4520",1,2.728,2.728,2.728,2.728,3.46,3.424,2.728,3.267,2.728,2.728,3.526,2.728,3.075,3.521,2.728,3.249,4.952,5.121,4.384,4.516,2.728,2.728,2.728,2.728,10.698,10.148,9.684,9.057,5.191,4.985,4.672,4.902,3.662,2.728,3.702,3.336,5.422,5.722,6.268,5.434
"ENSHGAG00000000025","H.gam_contig_3808",5,3.598,3.742,3.557,4.045,3.62,3.424,2.728,3.652,3.463,2.728,3.526,3.569,12.893,10.97,13.35,12.371,3.73,3.537,4.384,3.929,5.708,5.484,6.365,5.518,3.99,2.728,3.579,4.268,3.755,3.769,3.954,3.41,3.662,3.943,3.971,4.459,3.211,3.535,3.75,2.728
"ENSHGAG00000000028","H.gam_contig_4283",3,6.893,7.12,6.64,6.421,7.708,8.293,7.638,7.526,6.211,6.701,6.79,6.36,6.89,6.668,6.43,6.868,6.868,6.453,6.907,6.246,6.509,6.211,6.414,6.268,10.31,9.443,10.168,8.932,7.099,7.26,6.916,6.926,6.558,6.92,6.837,6.66,7.738,8.414,8.367,7.378
"ENSHGAG00000000032","H.gam_contig_4520",2,4.033,3.742,3.789,3.724,4.303,4.231,4.643,4.11,3.463,3.937,3.526,2.728,6.792,6.213,5.852,6.689,3.443,3.199,3.845,3.589,7.759,7.845,7.667,7.454,3.635,4.303,4.164,4.004,10.827,11.292,10.806,10.342,4.213,4.553,5.257,4.167,5.783,5.835,5.509,5.05
"ENSHGAG00000000033","H.gam_contig_4294",1,7.621,7.453,7.516,7.41,7.614,7.385,7.382,7.466,7.341,6.863,6.647,6.139,8.145,7.983,8.949,7.764,6.977,7.557,7.248,6.956,8.629,8.682,8.653,8.359,8.363,8.312,8.695,8.583,7.67,7.696,7.668,7.612,7.607,7.018,6.683,6.694,8.149,7.597,7.243,7.695
"ENSHGAG00000000036","H.gam_contig_4129",1,3.236,3.189,2.728,2.728,3.248,2.728,2.728,2.728,2.728,3.595,2.728,2.728,3.075,3.378,2.728,3.249,3.236,2.728,2.728,2.728,2.728,2.728,2.728,2.728,2.728,2.728,2.728,2.728,3.461,2.728,3.355,3.41,3.273,3.199,3.298,2.728,11.093,10.795,11.057,11.584
"ENSHGAG00000000037","H.gam_contig_4030",3,6.016,6.313,5.9,5.887,5.917,5.219,5.608,5.296,6.027,5.696,5.965,6.139,5.758,6.876,5.63,6.012,5.964,6.316,5.513,5.845,6.207,5.794,6.016,6.424,4.802,5.323,4.824,5.752,5.812,5.75,6.555,6.032,7.152,6.575,6.372,6.418,6.362,6.038,5.553,6.19
"ENSHGAG00000000038","H.gam_contig_4129",3,2.728,2.728,2.728,2.728,2.728,2.728,2.728,2.728,2.728,2.728,2.728,2.728,3.497,6.639,3.093,4.978,3.236,2.728,2.728,2.728,2.728,2.728,2.728,2.728,2.728,2.728,2.728,2.728,2.728,2.728,2.728,2.728,2.728,2.728,2.728,2.728,4.773,4.16,6.779,6.469
"ENSHGAG00000000041","H.gam_contig_4122",3,3.598,3.189,3.211,3.181,2.728,2.728,2.728,2.728,2.728,2.728,2.728,2.728,3.075,3.19,2.728,3.364,4.197,3.764,3.383,4.636,2.728,3.25,3.388,2.728,2.728,3.46,3.916,2.728,7.981,8.234,7.556,6.671,2.728,2.728,2.728,2.728,6.194,6.069,6.188,6.036
"ENSHGAG00000000043","H.gam_contig_4603",8,9.507,9.171,9.981,9.646,9.338,9.219,9.675,9.397,10.146,10.007,10.517,10.367,9.239,10.676,10.252,10.25,11.322,11.535,12.011,11.558,10.962,10.989,10.703,10.627,10.965,10.152,10.171,9.574,10.096,10.108,9.907,10.016,10.272,9.728,11.024,10.157,9.244,9.158,9.235,8.971
"ENSHGAG00000000046","H.gam_contig_3975",3,3.728,4.068,4.326,4.174,4.303,3.577,3.634,3.789,4.444,3.595,3.843,3.901,6.994,4.885,7.952,6.089,4.197,3.658,4.008,4.18,3.391,2.728,4.088,3.986,4.252,4.559,5.057,2.728,3.461,4.326,4.507,4.447,3.8,3.537,3.702,3.919,4.324,4.55,4.531,6.791
"ENSHGAG00000000050","H.gam_contig_4741",7,8.331,7.983,7.88,7.475,8.953,8.828,9.009,8.69,7.585,7.141,7.631,7.47,7.016,7.756,6.686,7.097,7.589,7.507,7.649,7.226,8.19,8.56,8.274,7.946,7.64,7.377,7.407,7.483,7.801,7.884,7.908,7.678,8.013,7.412,7.52,7.404,7.248,7.104,6.85,6.843
"ENSHGAG00000000055","H.gam_contig_3808",1,5.88,6.795,6.378,6.647,5.979,6.21,5.687,6.084,6.311,6.557,6.869,6.927,6.326,6.459,6.213,6.107,6.532,6.691,6.362,6.622,6.758,7.31,6.791,7.063,5.39,5.612,5.786,6.739,6.43,6.632,6.474,6.512,6.402,6.699,6.528,6.759,6.877,6.536,6.655,6.913
"ENSHGAG00000000058","H.gam_contig_4783",4,5.531,4.693,5.704,5.237,5.386,4.231,4.643,4.836,7.175,7.374,7.328,7.68,7.691,6.842,8.258,7.187,4.824,4.506,4.969,4.557,8.868,8.71,8.681,8.715,4.252,3.752,4.366,4.482,5.261,5.068,5.729,5.406,5.607,4.347,4.274,4.167,6.582,6.421,5.828,6.344
"ENSHGAG00000000062","H.gam_contig_4628",2,2.728,2.728,2.728,2.728,2.728,2.728,2.728,2.728,6.176,5.295,3.843,4.147,2.728,3.19,3.093,2.728,2.728,2.728,2.728,2.728,3.391,2.728,3.196,2.728,2.728,2.728,2.728,2.728,3.461,4.463,4.209,3.41,2.728,2.728,2.728,2.728,5.659,5.44,6.497,6.054
"ENSHGAG00000000063","H.gam_contig_4294",4,5.505,4.471,5.17,5.072,4.911,5.154,5.067,5.524,5.816,5.549,4.708,5.033,7.952,6.24,9.188,7.538,5.306,4.992,5.097,5.08,7.095,7.539,7.013,7.188,5.184,5.114,4.366,4.268,5.118,5.42,5.277,5.814,5.821,5.396,5.845,5.435,4.931,5.02,4.861,4.388
"ENSHGAG00000000065","H.gam_contig_4340",5,5.478,4.951,5.201,4.74,6.787,6.328,6.727,6.422,4.778,4.981,5.124,4.801,5.736,5.702,5.303,5.589,5.509,5.494,5.557,5.495,5.057,4.827,4.981,4.796,6.225,6.269,5.429,5.593,5.984,6.435,6.25,6.065,5,5.057,4.713,5.694,5.315,5.365,5.531,5.406
"ENSHGAG00000000068","H.gam_contig_4030",1,8.947,8.731,8.675,8.659,10.946,11.122,11.217,11.073,9.061,9.775,9.64,10.232,8.649,8.767,8.872,8.493,8.391,8.857,8.702,8.632,9.616,9.404,9.649,9.488,9.285,10.41,9.672,10.624,9.348,9.656,9.698,9.99,10.024,8.286,8.232,8.243,10.059,9.39,9.241,9.851
"ENSHGAG00000000069","H.gam_contig_4520",4,5.773,6.113,5.639,5.903,6.019,5.919,5.435,5.611,5.512,6.008,5.51,5.757,7.12,6.503,8.188,6.857,5.924,6.061,5.371,5.749,6.777,6.896,6.725,6.634,6.277,8.455,6.72,6.701,5.564,5.29,5.797,5.852,5.044,5.15,5.411,5.435,6.859,6.445,6.497,6.222
"ENSHGAG00000000073","H.gam_contig_2875",3,7.936,8.34,8.215,7.837,7.415,7.464,7.37,7.569,6.701,6.396,6.585,6.551,7.642,8.2,7.591,8.12,8.46,8.697,8.638,8.69,7.292,7.334,7.552,7.29,8.29,7.749,8.16,7.46,8.342,8.65,8.204,8.412,8.263,8.396,8.334,8.277,7.234,7.148,7.209,6.833
"ENSHGAG00000000084","H.gam_scaffold_9447",5,7.965,6.595,8.289,7.632,4.438,4.585,5.901,5.795,5.861,5.696,5.639,5.877,6.704,6.753,6.401,6.368,9.787,9.221,8.804,10.064,7.796,8.47,7.563,7.386,6.783,6.482,6.874,8.741,9.622,9.59,9.316,9.007,4.857,6.391,5.897,6.051,7.932,7.733,7.726,7.588
"ENSHGAG00000000087","H.gam_scaffold_7607",2,3.598,3.189,3.211,2.728,2.728,2.728,2.728,2.728,7.649,7.611,9.624,6.899,3.418,3.378,3.743,3.249,2.728,2.728,2.728,3.163,2.728,2.728,3.196,3.372,2.728,2.728,2.728,2.728,2.728,2.728,2.728,2.728,2.728,2.728,2.728,2.728,4.383,5.287,3.193,3.232
"ENSHGAG00000000091","H.gam_contig_141",1,8.178,8.425,7.894,8.322,3.971,4.001,3.374,3.652,2.728,3.595,3.526,3.569,3.901,5.14,4.324,4.774,4.197,3.944,3.383,4.122,5.179,6.463,5.847,5.943,2.728,2.728,3.579,4.004,5.261,5.75,5.277,5.556,6.497,7.034,6.296,6.438,5.861,6.053,6.486,6.174
"ENSHGAG00000000092","H.gam_contig_14430",3,8.312,8.845,8.75,8.787,8.198,8.45,8.655,8.176,9.108,8.991,8.966,8.909,8.073,8.823,7.813,8.288,8.228,8.352,7.746,8.157,7.609,8.147,7.94,8.137,8.782,8.433,8.574,8.15,8.476,7.906,8.087,7.848,8.888,8.698,8.575,8.54,8.504,8.417,8.486,8.678
"ENSHGAG00000000096","H.gam_contig_141",3,9.627,9.647,9.387,9.325,9.826,9.762,9.767,9.576,9.611,9.474,9.468,9.242,9.489,9.743,10.28,9.522,9.76,9.956,9.622,9.813,10.098,10.017,10.15,10.18,10.742,10.661,10.863,11.304,9.935,10.472,10.319,10.47,9.956,9.839,9.527,9.588,9.805,9.716,9.564,9.401
"ENSHGAG00000000097","H.gam_contig_14277",3,8.149,8.294,8.323,8.389,7.714,7.801,7.822,7.569,7.735,7.716,7.816,8,7.938,8.581,7.947,8.135,8.295,8.294,8.101,8.392,8.675,9.081,8.618,8.772,8.572,8.826,8.703,8.973,7.754,7.696,7.721,7.344,7.878,7.966,8.176,8.131,8.05,8.204,8.032,8.024
