Gene,gill_1,gill_2,gill_3,gill_4,heart_1,heart_2,heart_3,heart_4,hepato_1,hepato_2,hepato_3,hepato_4,gonad_1,gonad_2,gonad_3,gonad_4,nerve_1,nerve_2,nerve_3,nerve_4,ovary_1,ovary_2,ovary_3,ovary_4,muscle_1,muscle_2,muscle_3,muscle_4,eye_1,eye_2,eye_3,eye_4,gut_1,gut_2,gut_3,gut_4,juv_1,juv_2,juv_3,juv_4
ENSHGAG000046212,8.266,7.470,8.268,8.292,8.313,7.923,7.714,8.413,8.258,8.200,8.478,8.172,5.868,8.394,6.221,7.074,9.366,9.156,8.848,9.301,7.886,8.393,8.323,8.608,8.160,8.288,8.219,8.205,8.674,8.780,8.685,8.320,8.452,5.841,7.249,6.356,7.441,7.719,8.012,7.761
ENSHGAG000046395,3.598,3.520,3.681,3.724,4.149,3.912,2.728,3.486,5.043,5.764,5.292,4.518,3.075,3.190,2.728,3.249,4.197,4.164,3.383,4.234,3.391,3.872,3.653,3.372,3.635,3.460,2.728,3.644,3.461,3.472,4.592,3.684,3.662,3.537,2.728,4.370,6.070,6.187,6.552,6.759
ENSHGAG000046084,5.505,3.996,5.745,5.408,3.460,4.361,3.374,4.110,4.154,4.569,2.728,4.347,3.947,3.998,3.358,3.754,5.884,5.151,5.721,5.553,3.857,4.234,4.015,3.514,4.464,4.149,3.579,4.482,4.152,4.463,4.817,4.739,5.000,4.163,5.037,5.514,4.855,4.343,5.123,5.664
ENSHGAG000046314,8.783,10.088,8.347,8.354,11.257,11.892,7.977,10.638,3.463,4.569,3.526,3.901,5.704,7.971,8.089,6.601,6.180,6.151,5.721,3.998,2.728,2.728,3.196,3.185,3.635,3.970,2.728,4.482,5.390,6.605,6.789,7.127,11.601,8.118,8.743,8.866,8.504,8.843,9.366,8.720
ENSHGAG000046341,8.864,8.044,8.455,7.646,2.728,3.577,4.251,4.110,3.975,4.858,4.435,3.901,4.491,5.449,5.552,5.342,7.856,7.765,6.312,6.389,3.658,4.234,2.728,3.372,5.069,4.303,2.728,4.004,4.870,4.463,4.416,5.178,7.557,7.176,6.939,7.160,5.803,6.069,5.595,6.140
ENSHGAG000045954,9.350,8.847,8.968,8.844,8.127,8.380,6.224,8.936,4.566,4.721,4.271,4.922,4.883,6.424,6.371,6.289,8.467,8.458,7.222,7.091,3.658,4.918,3.196,4.125,5.184,5.114,3.579,5.091,5.669,5.890,6.515,6.360,9.429,7.806,7.944,8.316,6.792,7.119,7.307,7.987
ENSHGAG000046004,7.303,8.152,7.380,7.862,8.405,8.082,8.570,8.209,5.330,5.696,5.756,6.232,5.788,5.683,6.117,6.126,9.824,9.515,9.519,10.364,6.699,6.938,7.463,7.240,8.876,8.716,8.888,8.750,7.867,7.683,7.869,7.867,7.806,7.773,8.682,8.226,7.263,7.429,7.457,7.313
ENSHGAG000045904,7.911,7.470,7.740,7.382,7.971,7.640,7.847,7.847,11.056,10.980,8.158,7.805,7.140,7.239,6.959,7.138,7.410,7.090,7.746,7.483,7.154,7.104,7.278,7.168,7.156,7.200,7.560,7.709,7.856,7.733,7.931,7.396,11.210,8.399,9.130,9.364,7.966,7.794,7.502,7.500
ENSHGAG000046431,3.941,3.377,3.211,3.724,4.303,4.084,2.728,3.486,13.660,13.420,8.486,8.315,5.033,5.050,4.680,4.618,4.035,4.023,3.383,3.855,3.857,3.756,3.388,3.986,4.252,5.713,4.366,5.207,4.563,5.220,3.954,3.684,14.005,10.908,11.937,11.735,8.145,7.840,7.282,7.734
ENSHGAG000029696,3.941,4.565,3.789,4.777,4.229,4.775,4.801,4.785,5.454,4.569,5.211,5.319,5.799,5.402,5.668,5.419,4.992,4.646,4.751,4.429,7.183,8.385,7.090,6.996,4.464,4.438,3.916,4.482,4.441,4.171,3.954,4.058,3.662,5.469,4.583,5.760,3.407,4.225,3.843,4.893
